id,keywords
526313,[]
508763,"[{'id':818,'name':'based on novel or book'},{'id':1508,'name':'new mexico'},{'id':1981,'name':'colorado'},{'id':2981,'name':'homelessness'},{'id':9672,'name':'based on a true story'},{'id':10987,'name':'cgi'},{'id':12341,'name':'pitbull'},{'id':15162,'name':'dog'},{'id':158718,'name':'lgbt'},{'id':159909,'name':'veteran'},{'id':162327,'name':'avalanche'},{'id':236055,'name':'gay couple'},{'id':250816,'name':'pet owner'},{'id':251624,'name':'animal control'}]"
167575,"[{'id':8087,'name':'horror'},{'id':9663,'name':'sequel'},{'id':10292,'name':'gore'},{'id':12339,'name':'slasher'},{'id':14690,'name':'violent death'},{'id':190397,'name':'victor crowley'},{'id':190399,'name':'kill count'}]"
838,"[{'id':387,'name':'california'},{'id':455,'name':'farewell'},{'id':578,'name':'rock 'n' roll'},{'id':642,'name':'robbery'},{'id':699,'name':'love at first sight'},{'id':830,'name':'car race'},{'id':1224,'name':'radio station'},{'id':1927,'name':'car breakdown'},{'id':2016,'name':'vandalism'},{'id':2135,'name':'radio'},{'id':3740,'name':'radio presenter'},{'id':3800,'name':'airplane'},{'id':33885,'name':'car'},{'id':208349,'name':'child'},{'id':208992,'name':'1960s'}]"
9674,"[{'id':736,'name':'journalist'},{'id':3737,'name':'dying and death'},{'id':4333,'name':'theatre group'},{'id':9675,'name':'prequel'},{'id':15127,'name':'killer'},{'id':177912,'name':'wizard'},{'id':223036,'name':'parapsychology'}]"
306,"[{'id':703,'name':'detective'},{'id':1568,'name':'undercover'},{'id':3016,'name':'security camera'},{'id':4230,'name':'carousel '},{'id':5340,'name':'investigation'},{'id':6110,'name':'weapon'},{'id':9663,'name':'sequel'},{'id':10084,'name':'rescue'},{'id':10889,'name':'counterfeit'},{'id':10950,'name':'shootout'},{'id':11719,'name':'dirty cop'},{'id':12371,'name':'gunfight'},{'id':12670,'name':'los angeles'},{'id':14601,'name':'explosion'},{'id':14819,'name':'violence'},{'id':14967,'name':'foot chase'},{'id':15124,'name':'framed'},{'id':15483,'name':'car chase'},{'id':41249,'name':'secret service'},{'id':155582,'name':'amusement park'},{'id':156768,'name':'roller coaster'},{'id':163047,'name':'beverly hills'},{'id':167541,'name':'buddy comedy'}]"
514710,"[{'id':9706,'name':'anthology'},{'id':210024,'name':'anime'}]"
210624,"[{'id':10812,'name':'airplane accident'},{'id':12617,'name':'airplane crash'},{'id':162300,'name':'government cover-up'},{'id':187056,'name':'woman director'}]"
169525,[]
468366,"[{'id':9716,'name':'stand-up comedy'}]"
491622,"[{'id':2011,'name':'queen'},{'id':4278,'name':'invasion'},{'id':6091,'name':'war'},{'id':11196,'name':'rebellion'},{'id':237714,'name':'british invasion'},{'id':251201,'name':'jhansi'}]"
428444,"[{'id':2902,'name':'space battle'},{'id':4379,'name':'time travel'},{'id':4380,'name':'black hole'},{'id':12616,'name':'dinosaur'}]"
456650,[]
26196,"[{'id':417,'name':'corruption'},{'id':549,'name':'prostitute'},{'id':779,'name':'martial arts'},{'id':1667,'name':'pimp'},{'id':2708,'name':'hitman'},{'id':3713,'name':'chase'},{'id':6149,'name':'police'},{'id':8508,'name':'party'},{'id':9826,'name':'murder'},{'id':10601,'name':'blaxploitation'},{'id':10726,'name':'gang'},{'id':14819,'name':'violence'},{'id':14964,'name':'drugs'}]"
56156,"[{'id':1857,'name':'irish-american'},{'id':1919,'name':'mayor'},{'id':6078,'name':'politics'},{'id':6083,'name':'politician'},{'id':15134,'name':'election'}]"
23943,"[{'id':1706,'name':'experiment'},{'id':5086,'name':'telekinesis'},{'id':5801,'name':'nerd'},{'id':6270,'name':'high school'},{'id':9755,'name':'parody'},{'id':10124,'name':'laboratory'},{'id':170827,'name':'sex comedy'}]"
1378,"[{'id':237,'name':'gay'},{'id':242,'name':'new york'},{'id':460,'name':'free love'},{'id':463,'name':'swinger club'},{'id':571,'name':'transsexuality'},{'id':572,'name':'sex'},{'id':1252,'name':'suicide attempt'},{'id':1664,'name':'eroticism'},{'id':2426,'name':'group sex'},{'id':3201,'name':'orgasm'},{'id':3456,'name':'sex therapy'},{'id':4697,'name':'video'},{'id':7089,'name':'dominatrix'},{'id':10180,'name':'homosexuality'},{'id':155870,'name':'polyamory'}]"
96,"[{'id':374,'name':'arms smuggling'},{'id':703,'name':'detective'},{'id':1567,'name':'intensive care'},{'id':1568,'name':'undercover'},{'id':3688,'name':'strip club'},{'id':4898,'name':'armored car'},{'id':5340,'name':'investigation'},{'id':6149,'name':'police'},{'id':8181,'name':'swimming pool'},{'id':9663,'name':'sequel'},{'id':10950,'name':'shootout'},{'id':12371,'name':'gunfight'},{'id':12670,'name':'los angeles'},{'id':14601,'name':'explosion'},{'id':14819,'name':'violence'},{'id':15483,'name':'car chase'},{'id':18021,'name':'detroit'},{'id':155544,'name':'horse track'},{'id':163047,'name':'beverly hills'},{'id':167316,'name':'buddy cop'},{'id':193507,'name':'oil field'},{'id':226427,'name':'cement truck'},{'id':226428,'name':'playboy mansion'},{'id':226429,'name':'shooting range'}]"
25848,"[{'id':549,'name':'prostitute'},{'id':970,'name':'parent child relationship'},{'id':3593,'name':'wilderness'},{'id':5332,'name':'greed'},{'id':6956,'name':'treasure hunt'},{'id':7041,'name':'sahara'},{'id':10622,'name':'lost city'},{'id':10625,'name':'dying of thirst'}]"
590084,[]
1901,"[{'id':1599,'name':'midlife crisis'},{'id':5600,'name':'daughter'},{'id':5812,'name':'bad boss'}]"
87148,"[{'id':3412,'name':'star'},{'id':3490,'name':'pop star'},{'id':15162,'name':'dog'}]"
60479,"[{'id':5378,'name':'world champion'}]"
42981,"[{'id':217987,'name':'animation filmmaking'}]"
315196,"[{'id':970,'name':'parent child relationship'},{'id':5202,'name':'boy'},{'id':6669,'name':'step father'},{'id':9672,'name':'based on a true story'},{'id':10683,'name':'coming of age'},{'id':11792,'name':'incest overtones'},{'id':208992,'name':'1960s'},{'id':236630,'name':'school for delinquent boys'},{'id':236633,'name':'borstal'},{'id':236634,'name':'youth correctional facility'}]"
28857,"[{'id':1299,'name':'monster'},{'id':9663,'name':'sequel'},{'id':9748,'name':'revenge'},{'id':11100,'name':'giant monster'},{'id':161791,'name':'kaiju'},{'id':198754,'name':'feudal japan'}]"
430029,"[{'id':237,'name':'gay'},{'id':2343,'name':'magic'},{'id':33556,'name':'urban setting'},{'id':231341,'name':'gemstone'}]"
128452,[]
9844,"[{'id':237,'name':'gay'},{'id':3134,'name':'louisiana'},{'id':3737,'name':'dying and death'},{'id':6669,'name':'step father'},{'id':10183,'name':'independent film'},{'id':10508,'name':'teacher'},{'id':34079,'name':'death'}]"
41971,"[{'id':90,'name':'paris france'},{'id':14893,'name':'art'},{'id':41260,'name':'sensuality'},{'id':156063,'name':'expatriate'},{'id':179874,'name':'expressionism'},{'id':195537,'name':'forgery'},{'id':207876,'name':'1920s'}]"
12698,"[{'id':2956,'name':'vietnam'},{'id':6078,'name':'politics'},{'id':6091,'name':'war'},{'id':170457,'name':'lesson'},{'id':181549,'name':'secretary of defense'},{'id':181554,'name':'lyndon johnson'},{'id':181557,'name':'anti war protest'},{'id':181558,'name':'cuban missile crisis'},{'id':181559,'name':'dominoes'},{'id':181560,'name':'cabinet position'},{'id':181564,'name':'armed forces'},{'id':181565,'name':'spin doctor'},{'id':181566,'name':'self immolation'},{'id':181579,'name':'auto industry'}]"
269340,"[{'id':782,'name':'assassin'},{'id':4393,'name':'archer'},{'id':6285,'name':'coup d'etat'},{'id':9725,'name':'sword fight'},{'id':9826,'name':'murder'},{'id':13006,'name':'torture'},{'id':13084,'name':'king'},{'id':33456,'name':'double cross'},{'id':53995,'name':'archery'},{'id':179577,'name':'assassination plot'},{'id':232421,'name':'joseon dynasty'}]"
589187,"[{'id':4458,'name':'post-apocalyptic'},{'id':14544,'name':'robot'},{'id':188957,'name':'virus'},{'id':189092,'name':'journey'},{'id':237593,'name':'lone survivor'}]"
24458,"[{'id':4458,'name':'post-apocalyptic'},{'id':5769,'name':'global warming'},{'id':187056,'name':'woman director'}]"
485903,"[{'id':703,'name':'detective'},{'id':1568,'name':'undercover'},{'id':4613,'name':'training'},{'id':6149,'name':'police'},{'id':12670,'name':'los angeles'},{'id':162735,'name':'disability'},{'id':252999,'name':'van nuys'}]"
16390,[]
28856,"[{'id':1299,'name':'monster'},{'id':9663,'name':'sequel'},{'id':11100,'name':'giant monster'},{'id':198754,'name':'feudal japan'}]"
30526,"[{'id':2070,'name':'olympic games'},{'id':8338,'name':'coach'},{'id':208290,'name':'pentathlon'}]"
86782,"[{'id':3734,'name':'ambition'},{'id':10905,'name':'big business'},{'id':14512,'name':'new york city'}]"
57745,[]
18451,"[{'id':10508,'name':'teacher'},{'id':13028,'name':'writer'}]"
18451,"[{'id':10508,'name':'teacher'},{'id':13028,'name':'writer'}]"
438674,"[{'id':1321,'name':'gold'},{'id':4580,'name':'van'},{'id':10950,'name':'shootout'},{'id':14819,'name':'violence'},{'id':15363,'name':'bank robbery'},{'id':199072,'name':'suspended cop'},{'id':252962,'name':'stake out'}]"
477016,"[{'id':818,'name':'based on novel or book'}]"
32387,"[{'id':1605,'name':'new love'},{'id':1930,'name':'kidnapping'},{'id':9727,'name':'thief'},{'id':9748,'name':'revenge'},{'id':11733,'name':'drug dealing'},{'id':34079,'name':'death'},{'id':214996,'name':'florida everglades'},{'id':224472,'name':'new life'}]"
449985,"[{'id':779,'name':'martial arts'},{'id':782,'name':'assassin'},{'id':1721,'name':'fight'},{'id':2708,'name':'hitman'},{'id':3070,'name':'mercenary'},{'id':6149,'name':'police'},{'id':10291,'name':'organized crime'}]"
51248,"[{'id':380,'name':'sibling relationship'}]"
209901,[]
589812,[]
524787,"[{'id':2808,'name':'russian'},{'id':3582,'name':'bride'},{'id':11014,'name':'mail order bride'}]"
589795,"[{'id':2560,'name':'paparazzi'},{'id':4932,'name':'farm'},{'id':6562,'name':'celebrity'},{'id':12396,'name':'hollywood'},{'id':15162,'name':'dog'},{'id':186402,'name':'starlet'},{'id':239530,'name':'thieves'}]"
589811,[]
589594,[]
6646,"[{'id':818,'name':'based on novel or book'},{'id':1454,'name':'treasure'},{'id':2041,'name':'island'},{'id':3478,'name':'parrot'},{'id':4418,'name':'pirate gang'},{'id':6956,'name':'treasure hunt'},{'id':11088,'name':'treasure map'},{'id':12988,'name':'pirate'},{'id':41599,'name':'sailor'},{'id':157898,'name':'wooden leg'},{'id':160279,'name':'18th century'},{'id':165369,'name':'sailing ship'}]"
55544,"[{'id':4373,'name':'fraud'},{'id':4653,'name':'french'}]"
49446,"[{'id':10183,'name':'independent film'},{'id':187056,'name':'woman director'}]"
324326,[]
315439,"[{'id':3298,'name':'hallucination'},{'id':4833,'name':'royal family'},{'id':9672,'name':'based on a true story'},{'id':10886,'name':'punishment'},{'id':13084,'name':'king'},{'id':155294,'name':'family conflict'},{'id':160279,'name':'18th century'},{'id':169456,'name':'crown prince'},{'id':196595,'name':'succession'},{'id':232421,'name':'joseon dynasty'},{'id':240119,'name':'father son relationship'},{'id':240776,'name':'korean history'},{'id':249384,'name':'wooden chest'}]"
550273,[]
10929,"[{'id':5812,'name':'bad boss'},{'id':7717,'name':'evil mother'},{'id':9748,'name':'revenge'},{'id':33740,'name':'humiliation'},{'id':198780,'name':'obedience'}]"
10929,"[{'id':5812,'name':'bad boss'},{'id':7717,'name':'evil mother'},{'id':9748,'name':'revenge'},{'id':33740,'name':'humiliation'},{'id':198780,'name':'obedience'}]"
414018,[]
53413,"[{'id':2486,'name':'fantasy'}]"
250667,"[{'id':11925,'name':'domestic violence'}]"
392253,[]
72309,"[{'id':378,'name':'prison'},{'id':549,'name':'prostitute'},{'id':570,'name':'rape'},{'id':745,'name':'nun'},{'id':818,'name':'based on novel or book'},{'id':3260,'name':'masochism'},{'id':9785,'name':'perversion'},{'id':10093,'name':'priest'},{'id':13059,'name':'prostitution'},{'id':33998,'name':'lesbian sex'},{'id':161215,'name':'marquis de sade'},{'id':180340,'name':'voyeur'}]"
461757,[]
366249,"[{'id':2341,'name':'nanny'},{'id':2604,'name':'babysitter'},{'id':2806,'name':'lapland'},{'id':189092,'name':'journey'}]"
76216,"[{'id':4458,'name':'post-apocalyptic'},{'id':4565,'name':'dystopia'},{'id':9951,'name':'alien'},{'id':10292,'name':'gore'},{'id':12377,'name':'zombie'},{'id':220515,'name':'flying heads'}]"
82362,"[{'id':12570,'name':'whodunit'},{'id':157171,'name':'nonlinear timeline'}]"
43715,"[{'id':332,'name':'insect'},{'id':1299,'name':'monster'},{'id':1719,'name':'paleontology'},{'id':4477,'name':'paleontologist'},{'id':7035,'name':'giant insect'},{'id':8721,'name':'arctic'},{'id':11100,'name':'giant monster'},{'id':14512,'name':'new york city'},{'id':162536,'name':'man eating monster'},{'id':166958,'name':'prehistoric creature'},{'id':179426,'name':'mantis'},{'id':189223,'name':'praying mantis'}]"
14735,"[{'id':90,'name':'paris france'},{'id':3713,'name':'chase'},{'id':6844,'name':'stalker'},{'id':9826,'name':'murder'},{'id':10183,'name':'independent film'},{'id':12354,'name':'hong kong'},{'id':14964,'name':'drugs'}]"
566228,"[{'id':12094,'name':'business'},{'id':241317,'name':'health documentary'},{'id':249558,'name':'dark'}]"
61711,[]
424783,"[{'id':1576,'name':'technology'},{'id':10542,'name':'based on toy'},{'id':10607,'name':'transformers'},{'id':14544,'name':'robot'},{'id':15285,'name':'spin off'},{'id':208289,'name':'1980s'},{'id':250959,'name':'autobot'}]"
504172,"[{'id':534,'name':'mexico'},{'id':2151,'name':'drug crime'},{'id':2235,'name':'drug mule'},{'id':9672,'name':'based on a true story'},{'id':10175,'name':'drug cartel'},{'id':156805,'name':'dea agent'},{'id':159909,'name':'veteran'},{'id':239275,'name':'based on magazine, newspaper or article'},{'id':249856,'name':'2010s'},{'id':252104,'name':'2000s'},{'id':252877,'name':'sinaloa'}]"
554600,"[{'id':6092,'name':'army'},{'id':9672,'name':'based on a true story'},{'id':13015,'name':'terrorism'},{'id':14636,'name':'india'},{'id':158774,'name':'terrorist attack'},{'id':191819,'name':'indian army'}]"
27327,"[{'id':3284,'name':'phantom'},{'id':4344,'name':'musical'},{'id':155482,'name':'rock opera'},{'id':207889,'name':'faustian pact'}]"
51371,[]
79699,[]
79699,[]
312797,"[{'id':1523,'name':'obsession'},{'id':189368,'name':'barber'}]"
42619,"[{'id':387,'name':'california'},{'id':9672,'name':'based on a true story'},{'id':10322,'name':'native american'},{'id':10562,'name':'on the run'},{'id':160799,'name':'posse'},{'id':226499,'name':'manhunt'},{'id':236170,'name':'early 1900s'}]"
200511,"[{'id':642,'name':'robbery'}]"
23050,"[{'id':271,'name':'competition'},{'id':387,'name':'california'},{'id':1768,'name':'san diego'},{'id':8783,'name':'scavenger hunt'},{'id':11836,'name':'contest'}]"
90122,"[{'id':10683,'name':'coming of age'}]"
513236,[]
11621,"[{'id':131,'name':'italy'},{'id':966,'name':'beach'},{'id':1755,'name':'fascism'},{'id':2853,'name':'mediterranean'},{'id':4375,'name':'transformation'},{'id':10229,'name':'singer'},{'id':33482,'name':'war hero'},{'id':188747,'name':'air pirate'},{'id':210024,'name':'anime'}]"
12429,"[{'id':456,'name':'mother'},{'id':1357,'name':'fish'},{'id':1792,'name':'cliff'},{'id':5905,'name':'father'},{'id':5938,'name':'mermaid'},{'id':7376,'name':'princess'},{'id':210024,'name':'anime'}]"
122293,"[{'id':4379,'name':'time travel'},{'id':8629,'name':'tv movie'},{'id':9714,'name':'remake'},{'id':235620,'name':'re-imagining'},{'id':249530,'name':'plane crash'},{'id':251055,'name':'made for tv'},{'id':252818,'name':'uss eldridge'},{'id':252819,'name':'de-173'}]"
12663,"[{'id':2052,'name':'traitor'},{'id':2106,'name':'cold war'},{'id':2808,'name':'russian'},{'id':3045,'name':'mission of murder'},{'id':6091,'name':'war'},{'id':8862,'name':'uprising'},{'id':9748,'name':'revenge'},{'id':33705,'name':'agent'},{'id':226589,'name':'spetsnaz'}]"
546230,[]
10515,"[{'id':334,'name':'flying'},{'id':1960,'name':'mine'},{'id':2343,'name':'magic'},{'id':3098,'name':'castle'},{'id':4190,'name':'lost civilisation'},{'id':6092,'name':'army'},{'id':12988,'name':'pirate'},{'id':14659,'name':'girl'},{'id':163049,'name':'government agent'},{'id':165455,'name':'floating'},{'id':169362,'name':'pendant'},{'id':182600,'name':'blue sky'},{'id':188747,'name':'air pirate'},{'id':188847,'name':'crystal'},{'id':210024,'name':'anime'}]"
244001,"[{'id':9716,'name':'stand-up comedy'}]"
44129,"[{'id':3643,'name':'stock price'},{'id':10177,'name':'corporate'},{'id':45141,'name':'carpenter'},{'id':163167,'name':'job hunting'}]"
69315,"[{'id':161176,'name':'space opera'}]"
76091,[]
61622,"[{'id':1326,'name':'infidelity'},{'id':2587,'name':'married couple'},{'id':10061,'name':'dysfunctional marriage'}]"
18032,"[{'id':248194,'name':'moonacre'},{'id':248195,'name':'secret of moonacre'}]"
80560,"[{'id':9727,'name':'thief'},{'id':9935,'name':'travel'},{'id':187056,'name':'woman director'}]"
450001,"[{'id':779,'name':'martial arts'}]"
418472,"[{'id':11061,'name':'debt'},{'id':13028,'name':'writer'},{'id':191075,'name':'father and child'}]"
528949,"[{'id':1003,'name':'photographer'},{'id':1739,'name':'holocaust'},{'id':1956,'name':'world war ii'},{'id':2109,'name':'communist'},{'id':5509,'name':'spanish civil war'},{'id':5565,'name':'biography'},{'id':9672,'name':'based on a true story'},{'id':10939,'name':'holocaust survivor'},{'id':11482,'name':'republican'},{'id':189422,'name':'nazi occupation'},{'id':191726,'name':'nazism'},{'id':193696,'name':'concentration camp survivor'},{'id':207883,'name':'1940s'},{'id':208250,'name':'spanish 2nd republic'},{'id':244724,'name':'nazi trials'},{'id':252067,'name':'nazi war criminal'},{'id':252128,'name':'spanish republicans'}]"
529207,[]
428427,"[{'id':1925,'name':'camera'},{'id':2139,'name':'russia'},{'id':180307,'name':'driving'},{'id':246170,'name':'dashcam'}]"
37316,"[{'id':2940,'name':'mexican revolution'},{'id':156212,'name':'spaghetti western'}]"
329263,"[{'id':10873,'name':'school'}]"
233063,"[{'id':10508,'name':'teacher'},{'id':10873,'name':'school'}]"
27150,"[{'id':779,'name':'martial arts'},{'id':780,'name':'kung fu'},{'id':797,'name':'showdown'},{'id':798,'name':'sheriff'},{'id':1556,'name':'texas'},{'id':1706,'name':'experiment'},{'id':9826,'name':'murder'},{'id':157758,'name':'ax murder'},{'id':176625,'name':'taekwondo'},{'id':188955,'name':'hand to hand combat'},{'id':197239,'name':'regeneration'}]"
